,Unnamed: 0,Name,Date,Content
38,115,友华冷气,2013年05月15日 14:56  来自 专业版微博,一族  恒温密闭 空气质量 好 环境中，容易导致头晕，胸闷，乏力，情绪起伏大等 适症状，影响工作效率，引发各种疾病，严重者还可致癌 {大金空气清洁器}利用流光能装置强力分解和祛除过滤网捕捉到 气味和霉菌；迅速 强力地吸附室内灰尘，清除有害气体，使清新空气吹遍室内
39,118,白果齿科网,2013年05月15日 10:30  来自 新浪博客,适合  健康植物    适当 养些花草， 仅能起到调节空气 作用，还能调节人 心理状态，缓解工作带来 单调与疲惫  仙人掌等植物一直释放氧气 大部分植物   白天吸收二氧化碳. O 链接 （使用新浪长 工具发布 O 链接）
40,119,重庆10里原麓,2013年05月15日 10:30  来自 皮皮时光机,据 解，城市房间  负氧离子浓度 每立方厘米 个，楼宇   浓度甚至低到每立方厘米 ~ 个 这些空气往往容易头痛失眠等 适 很多 市白领工作一天之后感到头昏脑胀， 和空气 够“营养”有一定关系   原麓负氧离子含量达到每立方厘米约 万个， 解放碑  倍
43,143,ASTALIFT艾诗缇,2013年07月31日 17:36  来自 专业版微博,或者休息室放一点绿色植物吧 除 可以净化空气 同时  可以给炎炎夏 带来一点清新凉意  [xkl转圈]
45,179,我有生活,2013年08月31日 12:30  来自 皮皮时光机,“景天花坊” 各种小盆栽[植树节]上班  家 客厅 各个小角落 随意搭配小盆栽，这个小空间 空气  变清新啦~喜欢 筒子们可以上“ 有外卖“到这家小店逛逛哟~O 链接[拍手]
46,183,湖南福斯特办公设计,2013年08月31日 11:07  来自 专业版微博,常使用过程中会产生良多 空气污染物，先  当中 传真机，打印机等等， 使用过程中会产生大量 含铅量很高 粉尘，这些会伤害 到人 呼吸系统 所以 装修 时候，可以预留一些放植物 位置，甚至 使用特殊  桌，  桌上面留下放植物 位置 既净化 空气，还美化 环境
48,187,北京根与芽,2013年08月30日 16:40  来自 360安全浏览器,瑞宝（瑞典Blueair） 空气净化器支持根与芽!--凡 九 卖出  Air Cleaner  fessionals 型号 空气净化器，其利润  %将捐赠给根与芽北京  用于支持青少 环境保护教育 购买者将收到由根与芽精心制作 感谢卡片 话 有条件 童鞋可以考虑买 冬天用
49,188,魔光球,2013年08月30日 15:48  来自 专业版微博,今 头条 北京市爱国卫生 昨天公布 本市 家机关单位吸烟情况摸底调查  成领导吸烟导致 区域内空气污染严重，pm . 平均值为中度污染 吸烟有害自己和他人 健康，赶紧戒烟吧 球球建议 及抽烟区多摆放些绿植，多通风，另外应借助空气净化器来消除二手烟净化空气
50,190,球叔,2013年08月30日 11:44  来自 微博 weibo.com,东三环  ，一抬头，居然清晰 看到 西山 打开手机一看，空气质量“优”，哦哦，如果每天  这样，大家  会逃离北京 吧
51,199,淘宝美丽网,2013年08月29日 19:54  来自 淘宝美丽TBmeili.Com,夏季空调房保湿秘诀  _淘宝美丽w.tbmeili. om  炎热 夏天，   冷气一般 比室外温度平均低 度左右，如此之大 温差使得肌肤每天至少两次进出于冷热交替 环境中，受 忽冷忽热 刺激 与此同时，干燥 空气导致  内湿度下降，肌肤 干燥无可避免  . O 链接
52,200,易到范儿,2013年08月29日 16:05  来自 专业版微博,三招教 远离 头痛①勤开窗或用电子空气净化器净化空气 ②每小时让眼睛休息 分钟，向远处眺望 ③经常改变姿势，每隔 分钟左右休息 ～ 分钟，哪怕只    倒杯水 稍微活动一下 好 牢记小卡三妙招，让  头痛减轻 少哦~
54,211,刘惜君的啊哈_克克,2013年09月13日 18:21  来自 Android客户端,这能见度，简直   过小风吹 蛮凉快  陪同事出来溜两圈 ，真心比  坐 舒服   那空气 还 如外面呢
55,215,健康心理跟我学,2013年09月13日 11:02  来自 新浪视频手机客户端,停 咳，又 像 感冒 症状，去医院检查 一下，医生  上呼吸道感染，可能 因为 空气太污浊，病毒太多导致 ，建议改善  空气  怎么改善 ，那间 本来 窗子打 开，人又多， 鼻子闻 能闻到病毒 味道 老板 ，求空气净化器，求健康呼吸
56,217,江汉教育,2013年09月13日 10:18  来自 专业版微博,这一周，由于有 教师节这个快乐 节 ，前进二路小学显得格外生机勃勃 工会为全体教职员工送上 一份温馨 关怀，为每个 添置 绿萝 虎皮兰 青叶碧玉等绿色小植物，让校园变得更加美丽，空气变得更加清新
57,221,幻灵漫鱼,2013年09月13日 08:10  来自 iPhone客户端,上午   讨论“对吸烟 女人印象如何” ，有  更有女人味，喜欢极 ；有  象征  自爱，瞧 起； 有  对下一代有害， 敢娶 最后 进来 ，小伙伴们问 怎么看  沉吟良久，答道 “ 想变成那支香烟  ” 顿时 空气凝聚，然后轰然大笑， 此讨论到此结束
58,225,5千克,2013年09月12日 20:35  来自 5千克,桌面臭氧空气净化器这款桌面空气净化器可以净化空气，防止病菌与细菌 滋长，防止病毒扩散，消除家中 异味，对  会议室 洗手间 营业场所等进行有效 消毒，抑制 病毒 传播 其中包括 个新鲜 空气净化器清洁器， 个AC适配器， 本用户手册 ->O 链接
60,231,123苗木网,2013年09月12日 14:23  来自 百度分享,最佳室内保湿植物排行榜_花木技术_资讯_ 苗木网干燥 生活早已经让 们 皮肤喉咙承受 巨大 损伤 干燥 冬季  快来 ， 或者家庭 面确实需 一些保湿 植物来增添空气 湿度，那么 来看看什么 保湿排行榜吧  O 链接
61,234,七尚家居,2013年09月12日 09:57  来自 微博 weibo.com,经过 多星期淅沥 绵绵细雨，这几天重庆 空气比较湿润 这  桂花竞相绽放飘香 季节， 楼下 几颗桂花树 早已 花满枝头，空气 弥漫 浓郁 香味[玫瑰]  这阵阵袭人 芳香中，开启一天 工作~
62,240,小池a-pond,2013年09月11日 16:27  来自 微博 weibo.com,下午一上班，  没 电，空气开关跳闸  小汪师傅查来查去，   桌旁边 地插进水   明白  ，这个 房间中部 地插 怎么会有水呢？
63,242,UPM芬欧汇川,2013年09月11日 13:39  来自 专业版微博,绿化环境  环境令人心广神宜，美化环境之余又可令空气清新 花盆选择多 胜数，然而花盆又可否与灯饰结合，为环境点缀一番呢？外型虽然较为普通，为 保护环境，Rotoluxe用上低消耗 CFL / LED为光源，充电后可用上 – 小时，而且其可循环再造 塑料令弃置时亦 至破坏环境
64,258,行者张昆,2013年09月30日 16:13  来自 超话,电商从业者  早起锻炼还 下午下班锻炼 早起锻炼 俺觉得还 早上早点起来锻炼好些，首先嘛电商 习惯晚睡， 管有没有事情这样 能改进晚睡习惯，其次早上空气好，长期 呆 应该出来呼吸新鲜空气，，其他继续补充 详情 O 链接
65,259,万利达电商,2013年09月30日 14:25  来自 微博 weibo.com,超级除甲醛 二手烟 空气净化器超级适用于 或者家庭 赶紧入手吧，现 直降 元，哪 捡这么大便宜，快动手吧~万利达KJ- D光触媒空气净化器光催化杀菌除甲醛PM .
66,262,斯佳唯婷StriVectin,2013年09月30日 10:53  来自 专业版微博,小心变成 脸 护理方案 .  调试空调温度，当室内温度处于 ℃ ~ ℃，湿度为 % ~ %时，人 身体 思维会处于最佳状态   桌上养如水仙等水生植物，或者放个鱼缸，帮助保持空气湿度 保持   通风，经常开窗换气最重  多抽时间到室外透透气，让肌肤自由呼吸
67,264,CITYFM城市之音,2013年09月30日 10:00  来自 皮皮时光机,有哪些 减碳窍门  .多用电子邮件 MSN等即时通讯工具，少用打印机和传真机  . 内种植一些净化空气 植物，如吊兰 非洲菊等主  可吸收甲醛， 能分解复印机 打印机排放出 苯，并能咽下尼古丁  .收到商家发来 广告宣传品，可以收集起来集中处理 进行资源回收
68,266,老志勇,2013年09月30日 07:26  来自 微博 weibo.com,北京市政府新闻  瞪 眼睛 瞎话， 北京空气连续  改善 如此理直气壮 发布这样 信息，难道发布者 生活 真空 吗？假话开始大行其道
69,268,笨蛋侦探,今天19:07  来自 Redmi K60,小学家长们一直 打印作业，别太真实 ，现  小学家长完全人均打印机 现  小学生作业老师已经 发纸质  ，而 发电子 ，并且美名其曰自愿 为 完成作业，家长们  一天到晚 打印店跑 刚打完一科作业，回到家，另一科又来 ，家长们 只能继续往打印
70,269,赖美云,今天19:00  来自 微博视频号,本期新人解 上岗～ L赖美云  视频
72,271,种地吧李昊,今天19:02  来自 李昊超话,尘沙漫途，唯念隔屏那声无恙 南京见 李昊
73,272,一只反派酷小狗,今天19:37  来自 微博视频号,王力宏重庆演唱会纪录片释出 王力宏 视频提到自己每次演唱会结束 会回去看全程录像，这次还专门对观众互动环节进行 乐队伴奏 调整，让大家 声音更加清晰，更沉浸 演唱会 含金量还 因为有二哥 层层精进持续上升中 原来这已经 「最好 地方」巡演第二十二场 ，
74,275,谢振达,2013年10月15日 16:27  来自 好保姆,"公司加班到半夜，所有人 眼皮打架，一美女哀叹 "" 现 真想变成 ""因""字""，众问其故， ，   人四肢平摊躺 大床上 话音刚落，旁边一男同事嘟囔 ""困 ""   空气瞬间凝固 ."
75,276,万科良渚文化村,2013年10月15日 16:23  来自 360安全浏览器,下午，小薇走出 感受冷空气， 绿艺家发现 这一则寻猫启示，希望有信息 村民们看到后可以与小猫 主银联系哦~ 天气渐渐凉 ，希望猫猫早点回到主人身边～
76,278,食土少喵吃吧桑,2013年10月15日 15:13  来自 iPhone客户端,楼看到 景色还 很 错 〜     空气太糟糕 点       虹漕南路
77,283,花园道艺术商业街区,2013年10月15日 10:27  来自 微博桌面,武汉天气多云 ℃- ℃，北风 - 级，应对急速降温，亲们 注意保暖哦 秋天干燥，空气中缺少水分，人体同样缺水，  面 加湿器可以用起来 ~最最关键  补水-“朝朝盐水，晚晚蜜水”，利用盐和蜂蜜，喝进去 水分才 容易流逝，大家记住 吗？
79,287,重庆尧帝商贸,2013年10月15日 09:09  来自 专业版微博,这款创意商品“花瓶加湿器” 将加湿器设计 花瓶 内部，既 影响花瓶 美观，  影响加湿器 功能，将它摆 家中或  ，既可以为空气补充水分， 可以滋润人 肌肤，再插上一支自己喜欢 花，整天心情 会很好哦
80,291,王鹤润rain,今天19:34  来自 王鹤润超话,王鹤润   属于叶希宁  永远明媚 夏天🍃
81,292,jjjustin0219,今天19:24  来自 微博视频号,这一世 重生 ，来到 解 席 Ljustin   视频
82,297,恩三公益,2013年10月31日 21:30  来自 皮皮时光机,盆栽中植物和土壤中 细菌可以减少   挥发性有机物，有助于分解空气中 有毒物质，因此   放盆栽植物除 可以减少二氧化碳释放氧气外，还可以减轻人 压力，改善疲劳 喉咙干燥 皮肤干燥 头痛 咳嗽等上火症状
83,299,中医刘一针教授,2013年10月31日 19:10  来自 Weico.iPhone,为何 练肺气?据医学研究证实 肺正常可以容纳 千立方毫米 空气，可 人 坐位时，每次吸入 空气只有半公升，只用  ／ ，现代人每天 生活  坐 ，出外搭车，乘电梯，毎次 呼吸量 同样只  百一 千立方亳米之间 可见大部分肺组织 闲置 用 ，所以大家应做深呼吸运动（天气 好除外）
84,302,SONOKO荘能子,2013年10月31日 15:06  来自 时光机,空气干燥，一天下来皮肤水分流失，各种出油 敏感 脱皮 肌肤问题层出 穷，放加湿器  顶用  这时候身体乳 选择  显得尤为重 ，S家 沁白润肤露，蕴含皇牌保湿成分神经酰胺和极致滋润成分澳洲坚果油，清爽 厚重，于自然馨香中，让肌肤奢 全天候SPA
85,308,可尚颖KSY,2013年10月31日 10:08  来自 微博 weibo.com,大雨过后一股清新 空气迎来， 休息时间冲上一杯热咖啡，嗑上几粒南瓜子，小憩片刻，一天整个早晨精力充沛[din推撞]
86,309,艾力波登服饰,2013年10月31日 10:00  来自 微博 weibo.com,天天开 空气净化器，外面持续严重雾霾，还能呼吸吗？ 那边 空气好吗？
88,318,魏耀欣,2013年10月30日 15:48  来自 新浪微博4G版,待久 ，出来透透气，看看蓝天白云，呼吸一下新鲜 空气    这   厦门·厦门软件园二期
90,321,SOHO复兴广场,2013年10月30日 12:11  来自 微博 weibo.com,一张美国太空总署绘制  -  全球PM . 浓度地图，红色越深污染越严重 面对 益加剧 室外空气污染，SOHO复兴广场 设计 建造过程中摸索到全新 解决方案，通过 新风系统中增设多级过滤器，可将室外PM . 过滤近 %，输送新鲜 安全  空气 O 链接
91,322,原素生活,2013年10月30日 11:29  来自 专业版微博,白领孕妇需注意“ 辐射”  注意复印机 使用 由于复印机 静电作用，空气中会产生臭氧，使人头晕目眩 启动时，还会释放一些有毒 气体，令体质弱 人患上呼吸道疾病 因此，最好把复印机放 空气流通 地方，孕妇尽量少使用，并适当吃含维生素E 食物
92,327,光大天骄峰景,2013年10月30日 08:00  来自 光大天骄峰景-皮皮时,东莞今 天气播报 多云 - ℃，微风，空气质量良好~  总   ，偶尔 出来呼吸一下外面 空气吧
93,329,U脾气_莓烦恼,2013年10月29日 22:51  来自 微博 weibo.com,这样一直等下去·听到饮水机 烧水声烧 又停，停 又烧，连  空气 凝聚 一起 .
95,332,氧肤堂酵素祛斑祛痘国际连锁,2013年10月29日 15:58  来自 vivo_X5Max,秋冬季节来临，天气转凉，寒风吹起，  窗户 很少打开，那么新鲜空气很难进入，室内 病菌等消除  ， 很容易生病哦，百合 吊兰等可以吸收有害物质； 季 仙人掌等有清洁室内空气 作用，即使有 花，  适当多通风，这样才会花香四溢，还 容易生病哦 氧肤堂，汕头专业酵素祛斑祛痘
96,341,青田石门洞名人文化旅游区,2013年11月15日 16:35  来自 专业版微博,维生素对人体很重 ，其实空气  有维生素，这便 负氧离子  城市   浓度大约为每立方厘米 个，很多白领工作一天之后感到头昏脑胀， 和空气 够“营养”有一定关系 天然氧吧青田石门洞景区内负氧离子含量常 保持  每立方厘米左右，而 石门飞瀑下最高可达到 每立方厘米左右
97,356,山水誉峰,2013年12月15日 18:35  来自 山水誉峰-皮皮时光机,由树木带来 户外空气调节，减少 您 家或者   能量消耗 规划栽种 阔叶树 树荫能够 炎夏降低建筑物 温度，而 寒冷 冬季，通过树 枝桠透过 暖暖 光提高 室内 温度，枝桠 抵御 寒风对建筑物 侵袭  规划种植下，城市绿植能够降低城市 热岛效应
98,359,周艳心怡,2013年12月14日 20:00  来自 iPhone客户端,西药，中药，戴口罩（公司福利），前两天户外运动引起 严重鼻炎总算减缓 昨天电台做节目，主持人调侃 对周围空气免疫力低下， 否与 家   用空清有关？好吧，昨天节目热线满线，一直接听电话， 计较
100,361,网客小菜,2013年12月14日 06:09  来自 好保姆,"韩 修身包臀泡泡袖显瘦通勤长袖连衣裙，只 看到这款心情还  能平伏~绝对触动心弦 ~太好看 ~哈哈 上身后各种美~气质  得 哦~重点   如何提升职场""衣商""，为严肃刻板  装注入新鲜空气？ 如通过款式和色彩让 装扮渗透温柔 力量"
101,362,小小青儿啊,2013年12月13日 23:25  来自 Android客户端,很多 OL们~[玫瑰]带妆一整天，空气中 灰尘 杂质与彩妆掺杂 一起，如清洁 彻底，易造成毛孔堵塞  洁面当务之急 凝韵轻柔卸妆乳助 快速回复素净清纯面容 蕴含大豆油 橄榄油等多种亲脂性成份，安抚 滋养疲倦肌肤 配方纯净温和，可轻易卸除一般性或防水性彩妆，还 清爽容颜
102,363,Blueair-江苏,2013年12月13日 15:45  来自 微博 weibo.com,Blueair 专为 平方米左右 别墅以及 等较大 空间设计，净化效果十分出众 产品特别设置 轮脚，移动更轻松 市场零售价为RMB    采用SurroundAir™（环绕空气）过滤技术，可将污浊空气从机器两侧和底部吸进来，并从两侧和顶部将过滤过 清洁空气送出
103,364,夏庄田园,2013年12月13日 14:16  来自 搜狗高速浏览器,[红豆杉] 盆栽绿色室内花卉植物盆景净化空气雾霾克星 室内净化空气首选红豆杉  终大优惠，七折起.正宗红豆杉原价 现价只售  元，伙伴们速来抢购吧O 链接
104,366,中美环艺,2013年12月13日 10:43  来自 搜狗高速浏览器,早上到公司还   让 们闻太多 香薰 味道，薰   晕晕呼呼 ，现 开始头疼   一定 保持 内空气 清新
105,368,Siro卓成,2013年12月12日 17:15  来自 微博 weibo.com,天气变冷  变化 九 小雨，寒潮冷空气 再多 脂肪 抵挡 住寒冷 侵袭，终于 十 ， 开起 空调用起 暖气片，十二  春暖花开只 卓成
106,369,山东神舟制冷,2013年12月12日 17:08  来自 新浪微博4G版,济南 很冷，把燃煤锅炉换成空气源热泵以后， 们   比去 暖和 为蓝天 们 减少污染
107,370,光阴花谷,2013年12月12日 17:02  来自 MICartsy,吊兰 仅美观美丽，并且 能净化空气，给室内带来美好 清新 特别适合家庭和 盆栽养殖 吊兰怎么养？吊兰中 金边吊兰 最受欢迎  金边吊兰怎么养？金边吊兰 养殖方法 什么？看看下边 介绍吧~
108,373,BEAVER博柔专业美发,2013年12月12日 13:30  来自 皮皮时光机,空气太过干燥，即便给头发补水 会很快流失，因此，提高空气湿度  解决秀发静电问题 有效方法  们可以  和家 养一些绿色植物，用以提高空气湿度，净化空气 如果长期呆 空调房中，还需 使用加湿器来增加室内湿度 这样由内补充头发水分，由外提高空气湿度，静电烦恼自然会远离 们
109,380,梦大桐的本来生活,2013年12月31日 20:50  来自 iPhone客户端,明  们  进新台  ，虽 这间小 拥挤 没有窗子 空气 流通，但当 离开时还 有些伤感 毕竟这   和同事们奋斗十几载 地方，这  见证 中文国际频道 个最辉煌 时刻   ， 们依旧 路上
111,383,枫林晚书店,2013年12月31日 18:21  来自 微博 weibo.com,睡  ， 夜幕中数 清 繁星， 冷空气 吹 完 呵气， 书桌上完成   作业，   绕 明 人情世故 除此以外，睡   可以 无处   没事儿偷 乐     下午   ，“深夜治愈系”漫画家 和 将来到枫林晚书立方与大家分 他们 故事，欢迎枫籽前来~
113,407,猫二_ZHENG,2013年12月28日 16:56  来自 iPhone客户端,简直绿树成荫 空气好，养 好
114,415,AKizunaJin,2014年01月15日 20:17  来自 皮皮时光机,， 家 ，天天坐电脑前面有没有觉得皮肤比较干燥呢?除 多喝水之外，还可以   放 加湿器哦，这个mini加湿器，既可以调节室内空气 温度，还可以帮 预防疾病呢 !
115,421,张健利,2014年01月14日 18:31  来自 微博 weibo.com,澳大利亚昆士兰科技大学空气质量与健康国际实验室一项研究发现，打印机释放 细颗粒浓度跟吸入二手烟 浓度相当，可致空气污染增加 倍，轻则引发呼吸系统疾病，重则引发心脏病甚至癌症 除  摆放植物外，最有效 方法  经常开窗通风或使用空气净化器， 以降低污染浓度，营造高品质 工作环境~
116,424,土豪的后花园,2014年01月14日 15:05  来自 微博 weibo.com,由于新装修  还 有点味道，朋友特意送 台美国奥司汀空气净化器来给 们用下 知道这个品牌大概     前 事 ，确实 好东西，只 中国市场一直没好好推 这几 倒 让更懂营销 BLUEAIR赶 上来 期待目前总代 这家定位做进口健康电器 好好推一下
117,425,bean0423,2014年01月14日 14:52  来自 微博 weibo.com,坐久 ，感觉头痛，恶心，乏力， 空气实  太差
118,432,A1生活爱益生活,2014年01月13日 16:42  来自 微博 weibo.com,简单妙招治偏头痛——①双手食指弯曲成钩状，双手同时顺时针旋转按太阳穴 ②舒展颈部，下巴依次向前 向上 向左和向右伸展 ③偏头痛者最好用冰袋冷敷太阳穴，降低流过这个区域血液 温度 ④得空休息 多喝水 多伸展 ⑤ 保持空气流通，时常开窗
119,436,营养师万啟斌,2014年01月13日 13:26  来自 iPhone客户端,武汉空气质量持续严重污染，没有再比严重污染更危险 空气质量 ，仅优于河北石家庄 进肺入血，伤心伤肺 长此以往，老人儿童 体弱劳累群体伤害更甚 户外 空气质量无法保证，家   甚至车上 室内空气质量必须保障 逸新空气净化器，第一次买对 ，一辈子 省心
120,445,龙洋网,2014年01月31日 18:11  来自 皮皮时光机,贵阳市改善环境空气质量攻坚工作领导小组 (大气办)发出倡议 告别鞭炮 文明过节，共度 欢乐祥和 空气清洁 新春佳节 O 链接
121,450,K11DesignStore,2014年01月30日 12:28  来自 微博 weibo.com,流感高峰期，屋企或 更需 瑞典品牌Blueair 空气清净机  净化机 无声过滤网能去除大至小 微粒，如粉尘 细菌 空气中 污染物等，效率高达 . %，更可适用于两款 同 滤网作更换，  算分解后  会对生态产生大影响， 而且耗电量低 有各款大小型号选择  HK$   -HK$
122,451,Fred_88,2014年01月30日 09:31  来自 iPhone客户端,四点半，地球那边已经 大 三十， 终于还 没忍住湿 眼睛，只好低下头抱 Greg一下，匆匆逃出他   到前台交 门卡，最后一次推开大门，零下九度 空气扑面而来，夕阳已经 雪地上拉长 一道道清冽 树影  回头再看 眼这栋楼，八 四个  忙碌终于 此刻静止成 一页记忆 纽约， 来
123,457,北京生态环境,2014年01月29日 13:43  来自 政务直通車,北京市空气重污染应急指挥部 祝您春节愉快，身体健康 节 期间，“少燃放一组烟花爆竹 多呼吸一口新鲜空气”，小行动改变大环境，减少空气污染，请您从自身做起，为北京环境尽一份力 全市党员干部 带头 放少放烟花爆竹 如遇 市发生空气重污染橙色 红色预警，全市范围内禁止燃放烟花爆竹
