,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,Date,Content,Env_prlbm,Sent_lvl
22,95,95,116,424,土豪的后花园,2014年01月14日 15:05  来自 微博 weibo.com,由于新装修  还 有点味道，朋友特意送 台美国奥司汀空气净化器来给 们用下 知道这个品牌大概     前 事 ，确实 好东西，只 中国市场一直没好好推 这几 倒 让更懂营销 BLUEAIR赶 上来 期待目前总代 这家定位做进口健康电器 好好推一下,1,-1
23,96,96,117,425,bean0423,2014年01月14日 14:52  来自 微博 weibo.com,坐久 ，感觉头痛，恶心，乏力， 空气实  太差,1,-1
24,98,98,119,436,营养师万啟斌,2014年01月13日 13:26  来自 iPhone客户端,武汉空气质量持续严重污染，没有再比严重污染更危险 空气质量 ，仅优于河北石家庄 进肺入血，伤心伤肺 长此以往，老人儿童 体弱劳累群体伤害更甚 户外 空气质量无法保证，家   甚至车上 室内空气质量必须保障 逸新空气净化器，第一次买对 ，一辈子 省心,1,-1
25,99,99,120,445,龙洋网,2014年01月31日 18:11  来自 皮皮时光机,贵阳市改善环境空气质量攻坚工作领导小组 (大气办)发出倡议 告别鞭炮 文明过节，共度 欢乐祥和 空气清洁 新春佳节 O 链接,1,0
26,115,115,137,513,捷捷花艺,2014年03月28日 10:05  来自 360安全浏览器,为  空气能好一点， 下班通常 关窗 ，昨夜下 一场大雨，还担心打印机   淋雨 ，早上来上班  窗户关得死死 ，问同事， 根本没有人动过  窗户 最近奇怪 事情很多,1,1
27,119,119,142,528,蝶翠老猫,2014年04月30日 09:50  来自 傲游云浏览器,出差回来，发现 多 一台正工作  空气净化器，明显感觉室内空气清新  少 这个 赞,1,1
28,124,124,147,536,赣龙大酒店,2014年04月29日 12:28  来自 360安全浏览器,导语 如今 气温居高 下，白领们整天带   面，高温天气让室内 空气比较干燥，容易上火，所以白领一族 需 为自己准备一些具有降火润燥功效 食物， 仅可以解馋充饥，而且还可以改善身体 一些 适症状，一举两得,1,1
29,127,127,150,545,太阳能1009,2014年04月28日 12:37  来自 iPhone客户端,东鹏健康宝背景墙采用特殊 印刷技术以绿色秞料，有效降解甲醛，甲苯，调节湿气，净化空气 功能， 小孩房间， 必用 健康产品,1,1
30,129,129,153,566,icx辉哥,2014年05月15日 11:28  来自 iPhone 5s,开会 去会议室，   东拼西凑， 空气净化器 包装，加 碳晶平板取暖器，   投影布 ，这样开会 别有滋味,1,1
31,132,132,157,588,堆糖商店,2014年05月29日 13:08  来自 堆糖,什么植物萌，第一反应  多肉植物  多肉植物成品组合相框，净化空气 防辐射，生命力强方便养 无论放  还 自家书桌  错，有个好环境带 好心情，学习工作更有动力~ O 链接,1,1
32,133,133,158,602,通达OA,2014年05月27日 16:33  来自 360安全浏览器,空气污染严重  ，空气质量越来越被人们重视，路上行人 纷纷用口罩武装自己 那么，谁来关注 们  空气质量呢？通达信科为 地点配备 空气净化器 伴随 净化器吹来 屡屡清风， 们 仅呼吸到 洁净 芬芳 空气，更感受到公司对每一位员工 关爱，为员工创造更加良好环境 良苦用心,1,-1
33,139,139,165,623,昂莱照明,2014年05月21日 10:50  来自 微博 weibo.com,空气净化灯又称净醛灯， 灯光照射 同时，能产生大量 负离子散布于空间之中，从而起到消烟 除尘 除异味 消毒杀菌 祛污染等多种功效，广泛适用于宾馆 酒店   会议室 家庭和茶坊 歌厅 网吧等休闲娱乐场所， 改善空气质量 消除甲醛 苯等有害气体 绝佳产品,1,1
34,140,140,166,634,歌曳岩心,2014年06月30日 14:40  来自 360安全浏览器,付老师真 快 热死 ~快 烤死 ~快 晒死 ~学校宿舍 通风，空气 对流，没有空调，风扇一点用 没有，所以付老师毅然决然决定睡  ~~  问 为何 回家，因为每天来回跑太费时间，付老师还有早读，红灯时间 很长，偶尔被堵 北二路 感觉非常 爽,1,-1
35,141,141,167,635,haliliyaya月,2014年06月30日 14:04  来自 360安全浏览器,忙活  星期，新 终于整理完毕 ，期间用 各种去甲醛 方法， 空气  甲醛含量 由最初 爆表，慢慢恢复正常；最开心  伙食改善,1,1
36,142,142,168,637,百悦康·臭氧,2014年06月30日 12:56  来自 搜狗高速浏览器,家用臭氧作用  空气净化  将臭氧排气管挂  . 米以上高度，排放O -- 分钟，即可有效去除室内烟尘或装饰材料 异味，降尘灭菌，增加空气含氧量，清新空气，让您 家中 受到雨后森林般清新 空气（可用于家庭   会议室 娱乐场所 除烟 除尘 消毒 去味）,1,1
37,147,147,173,656,派得伟业-闲亭苑,2014年06月26日 10:20  来自 微博 weibo.com,养植物 益处  人多空气差，而且很多 常 开空调，导致室内 空气无法流通，除此之外，装修材料中 苯 甲醛等有害化学气体，以及电脑打印机对身体 辐射 很大， 这种污浊空气下， 人群会出现头痛 恶心 气喘气促 鼻咽部 适 情绪 良等“ 楼综合征”,1,-1
38,150,150,176,662,绿盾清新生活馆,2014年06月25日 10:31  来自 微博 weibo.com,人们一天中平均 % 时间呆 室内，而写字间（ ） 大多数上班族停留时间最长 场所 写字间空气质量 良，将会长时间侵害上班族 健康 特别 夏季来临，气温高，空调开放，门窗紧闭，更易引起室内空气污浊缺氧,1,-1
39,151,151,177,664,贵阳市公安局南明分局,2014年06月25日 09:31  来自 搜狗高速浏览器,环保内容包括 保持空气清新；尽量使用自然光照明；人均占有空间合理； 用品无公害  汽车尾气主  指从排气管排出 废气中含有 - 种 同 化合物，其中对人危害最大 污染物有 氮氧化物，碳氢化合物，一氧化碳，铅,1,1
40,153,153,179,676,科霖空气能,2014年06月24日 08:18  来自 微博 weibo.com,环境问题 益严峻 当下，科霖空气能 断革新产品技术， 三联供空气能 基础上研发出 新一代 绿智能家居产品——四联供空气能 该产品集热水 空调 采暖 空气净化于一体，帮助消费者净化家庭   商业等室内场所 空气，为消费者营造真正健康 舒适 节能 绿色家居生活,1,1
41,156,156,182,681,Ymlrorms2018,2014年06月22日 10:59  来自 小米手机2S,走路 长眼睛，直接嘭 一下撞玻璃墙上 ，头 晕   以为前面 空气，还用手摸 摸   人 盯 一看 ，有没有蠢 死  湖东路,1,-1
42,161,161,187,699,薇诺娜,2014年07月14日 15:26  来自 微博 weibo.com,干眼病本来 秋冬季 常见病，但现 却成 夏季 热门病，这可能 长期工作 空调开放或空气 流通 环境 ，引起干眼症状，所以又被称为“大楼疾病综合征”或“ 眼病综合征” 建议多眨眼，多吃水果 新鲜蔬菜等补充维生素，保持空气流通,1,0
43,162,162,188,700,日盈银河系光触媒,2014年07月14日 15:20  来自 Qing,内空气质量告急 O 链接,1,-1
44,163,163,189,703,灵魂的香味儿,2014年07月13日 13:14  来自 iPhone 5s,周   ， 人独 超多甲醛，坐拥闷热空气，怎 爽字 得 [睡觉],1,-1
45,169,169,195,727,泽之老万,2014年07月30日 20:05  来自 微博 weibo.com,特需产科确乎有些三星级标准间 样子，医生 则照例 拥挤 堪空气壅塞,1,-1
46,172,172,198,734,百德办公,2014年07月30日 08:54  来自 微博 weibo.com,至少 小时已成为 市白领们“家常便饭”，虽然 每天有专人打扫，空气中漂浮 由各种 设备产生 污染物这些将成为新 “无形杀手”   设备 选择上 应该尽量选择绿色环保 产品 除 选择绿色环保产品，还应该养成一些健康 工作习惯，达到最大限度避免 污染,1,-1
47,174,174,200,750,宇洛夏Susan,2014年08月15日 16:53  来自 微博 weibo.com,气压太低，  去呼吸新鲜空气 愿一切 转好,1,-1
48,179,179,205,770,香港鳄鱼恤,2014年08月29日 10:11  来自 微博 weibo.com,运动锻炼对于久坐 ，常面对电脑辐射 童鞋来 尤为重   一族 每工作一小时到两小时后，必须起来活动，呼吸新鲜 空气，亦可 闲暇时  做一些简单基本 养生操,1,0
49,181,181,207,788,慈霞香业,2014年09月15日 09:59  来自 微博 weibo.com,细菌传播 最近 一项研究表明，细菌能够 污染后  到 小时内，传播到大约 %  表面  经试验表明 慈霞天香香薰，可有效抑制病毒 空气中 传播，改善空气质量，提高人体免疫力,1,-1
50,192,192,222,865,丽水市苗方清颜专业祛痘,2014年09月25日 14:26  来自 微博 weibo.com,武汉苗方清颜祛痘专家 秋冬季节来临，天气转凉，寒风吹起，  窗户 很少打开，那么新鲜空气很难进入，室内 病菌等消除  ， 很容易生病哦，百合 吊兰等可以吸收有害物质； 季 仙人掌等有清洁室内空气 作用，即使有 花，  适当多通风，这样才会花香四溢，还 容易生病哦,1,1
51,194,194,224,879,i闫福英,2014年10月15日 13:40  来自 360安全浏览器,全国雾霾虽然已过，空气净化器市场销售仍然火爆，但空气净化器怎样更好 防雾霾呢？ 们怎样选靠谱 防雾霾空气净化器 ？一 指标，二   人并非离空气净化器越近，空气 越新鲜 三 选靠谱 防雾霾空气净化器 并非安慰大于实效O 链接,1,0
52,195,195,225,886,申爱静爱萱爱漠,2014年10月15日 09:30  来自 360安全浏览器,相比于   烟味儿 空气清新剂味儿 一男人 香水味儿. 还 比较 讨厌室外 雾霾.,1,1
53,199,199,230,944,wang耗子先生,2014年11月30日 16:16  来自 微博 weibo.com,这 ，刮 大风，空气化工气味难闻  行，  还行，一到外边一呼吸头 疼，没有人管吗？地址 衡水开发区冀衡路,1,-1
54,200,200,231,946,北京邮电大学,2014年11月29日 20:58  来自 微博 weibo.com,北京空气重污染应急指挥部   上午启动“空气重污染蓝色预警”（四级），受 利气象条件污染物难以扩散，  空气质量可达“五级重度污染”级别 北京气象台同时发布“寒潮蓝色预警”，    至    ，北风六级以上 阵风八九级，大风降温将持续至,1,-1
55,212,212,244,1005,谢家集警方,2015年02月28日 11:29  来自 微博 weibo.com,警方提示 大多数人 使用打印机时，经常有头痛 胸闷 感觉，而且打印 过程会闻到一股难闻 气味   经常使用打印机   注意通风和定期对空气进行消毒；  使用打印机 时候应尽量远离机器，等打印完毕味道散去后再继续工作,1,-1
56,213,213,245,1009,南通市公安局开发区分局,2015年02月27日 14:35  来自 微博 weibo.com,大多数人 使用打印机时，经常有头痛 胸闷 感觉，而且打印 过程会闻到一股难闻 气味   经常使用打印机   注意通风和定期对空气进行消毒；  使用打印机 时候应尽量远离机器，等打印完毕味道散去后再继续工作,1,-1
57,218,218,251,1044,壹读,2015年04月15日 18:08  来自 iPhone 6,此刻壹读君 朋友圈和 窗外 北京 妖风阵阵裹挟 飞沙和柳絮，满空气土味  妖怪来啦,1,-1
58,221,221,255,1057,百里挑一导购网,2015年04月30日 10:01  来自 JiaThis分享按钮,Twinbird  本双鸟 空气净化器 AC- W 这款空气净化器虽然 比其他高端空气净化机 功能齐全，但性价比较高，外观  比较轻巧可爱，可以放 桌面上，用于  寝室等小房间 空气净化，很适合学生党和单身人士  O 链接,1,1
59,229,229,266,1116,滚叔我的河畔小城,2015年07月31日 22:28  来自 iPhone 6,一楼，总 有股霉味，用上大功率 空气净化器， 小时开机，难闻 异味犹  后来用 一台抽湿机，没想到房间  霉味没有  净化器除烟味，抽湿机才能真正消除霉味,1,-1
60,234,234,271,1139,小熊的海淘小铺,2015年09月15日 21:50  来自 🐻熊的iPhone 6 Plus,问爆🔥  一盒 贵，可以用 到 个 ，家 有吸烟爸爸 注意 ，感觉为 家  小宝贝准备起来哦 健康大于一切 Bad Air Sponge空气净化海绵除甲醛烟雾尘霾 起居室， ，厂房，学校，医院，装修场所，厨房，厕所，衣橱，地下室，宠物居所，排风口等等，真 哪哪 需 阿 现货还有 个,1,-1
61,236,236,274,1151,贾谦卑,2015年09月29日 16:28  来自 微博 weibo.com,每到下午  空气 差到爆表，鼻炎患者以每天消耗一包 抽纸巾 节奏来把每天当做人生中 最后一天过,1,-1
62,237,237,275,1156,dumachic,2015年09月25日 21:10  来自 iPhone 6 Plus,空调    肌肤杀手，温度每降低 度，空气中 湿度 会减少 % 午休时间， 妨为肌肤喷上保湿喷雾 使用喷雾 时候，眼妆往往容易被“误伤”，所以 喷涂全脸之前，记得将纸巾折叠，轻轻覆 眼睛上，然后略微仰头，用喷雾轻轻一喷 喷后记得 用纸巾吸干多余 水分哦,1,-1
63,238,238,276,1184,利魔方,2015年11月13日 10:03  来自 微博 weibo.com,北京发布空气重污染黄色预警 未来两天仍将持续 据北京市气象局官方 消息，北京市空气重污染应急指挥部    时发布空气重污染黄色预警 北京市受 利气象条件影响，空气质量达到重度污染水平 预计未来两天仍将持续重度污染状态   午后受冷空气影响，空气质量将逐步改善,1,-1
64,239,239,277,1186,彬哥看盘,2015年11月13日 09:31  来自 微博 weibo.com,北京市空气重污染应急指挥部 今  时发布空气重污染黄色预警 受 利气象条件影响 空气质量达到重度污染水平 预计未来两天仍将持续重度污染状态,1,-1
65,241,241,279,1192,美论传播,2015年11月30日 14:12  来自 iPhone 6 Plus,这雾霾笼罩 天气，公司为每间 购置 小米空气净化器 ，希望员工能够得到一点缓解,1,-1
66,242,242,280,1198,虫草王-ZY,2015年12月15日 19:32  来自 iPhone 6 Plus,上海 ，继北京雾霾 找 到裤衩之后， 上海 迷失 双十二那天给 买 一台空气净器，还买 两打口罩.,1,-1
67,244,244,282,1205,生态河北,2015年12月15日 10:05  来自 分享按钮,空气净化器 作用有多大（绿色焦点）--专家表示，人们大部分时间待 家   等室内空间，室内空气污染防控 能掉以轻心，应科学认识 正确使用空气净化手段，为室内空间 戴上“防霾口罩”  O空气净化器 作用有多大（绿色焦点）,1,-1
68,246,246,284,1222,会宁富达农产品官微,2016年01月14日 22:54  来自 iPhone 6s Plus,一天烟雾缭绕，走出  那一刻感觉呼吸 空气  甜   西宁·西郊,1,1
69,247,247,285,1223,唯传,2016年01月14日 17:57  来自 微博 weibo.com,外面灰蒙蒙 ，下 点雨，分 清 霾还 雾 拿 台V 试 下  空气，特意等到下班前拍 嘿，可好  雨后 空气  好,1,-1
70,256,256,294,1277,中央气象台,2016年03月15日 15:00  来自 微博 weibo.com,上午  同事拿 十分厉害PM . 检测仪过来中央气象台会商室监测空气质量，忧心忡忡地表示室外PM . 大概 微克/立方米，室内却 超过  微克/立方米[崩溃]  所以室内  减少活动 沉心静气  别忘 戴上口罩[有鸭梨],1,-1
71,261,261,300,1291,喜鱼鱼sama,2016年03月13日 11:07  来自 iPhone 6s,前几天中午吃饭 时候领导给  一头蒜，为  空气清新没吃 随手蹲花盆     一看， 请问蒜苗长这样   土 有毒，还能吃吗？,1,-1
72,263,263,302,1293,泰国头条新闻,2016年03月12日 16:06  来自 微博 weibo.com,，泰国清迈市区烟尘笼罩，能见度低，当地空气质量和噪音管理 表示，清迈市区空气中 粉尘指数超标，可能会对民众 健康造成影响 烟尘来源 周边地区 山林大火，部分民众违规烧山 清迈政府使用喷水设备增加空气湿度，吸收空气中 烟尘,1,-1
73,266,266,305,1302,学生搞笑图鉴,2016年04月15日 18:40  来自 皮皮时光机,趁没人注意，对 空气净化器放   响 屁，谁知道从来没有动静 净化器竟然亮起灯响 起来，所有人 投来疑问 目光， 直起腰，紧接 一股恶臭被吹向   每 角落,1,-1
74,267,267,306,1303,空净控,2016年04月15日 16:51  来自 iPhone 6,研发部 空气质量太好 ， . .,1,1
75,269,269,308,1313,11火韦火华3,2016年04月14日 09:07  来自 iPhone 6,雾霾 再 大约 冬季  上海PM .   ，国标  以下，欧美  以下 据气象局统计，上海一 中有两百多天受雾霾笼罩 改善大环境靠国家，靠政策 而 们造梦者现  能改善室内空气质量  这样 雾霾天，装 新风机 家庭， 子中心，早教中心，酒店， PM . 保持  以下，超欧美标准,1,1
76,274,274,313,1332,Oransi中国,2016年04月11日 15:23  来自 360安全浏览器,下图为    ， 一幼儿园测试室内污染和净化 空气质量指数显示 健康 室内小于等于pm .  污染颗粒物达到   大颗粒物污染达到  大于 空气 非常 好  净化后 空气质量非常好  小于pm . 降到    还 继续降 大颗粒物仅为  所以家    教室等室内环境污染 严重程度,1,-1
77,275,275,314,1333,北京东西仪,2016年04月11日 11:42  来自 微博 weibo.com,室内台式CO 监测仪 产品货号  wi 产 地  国产 点击放大详 细   明室内台式二氧化碳监测仪用于监测室内空气二氧化碳水平值和温湿度值，广泛应用于家庭 学校   工厂 交通车辆内等 测量 二. O室内台式CO 监测仪 产品货号  wi 产 地  国产,1,-1
78,288,288,330,1407,青柚AIR,2016年04月22日 15:03  来自 专业版微博,但 威胁 们健康 空气污染 仅仅 室外， 空气污染  危害 们健康 隐形杀手~所以 午休期间尽量离开 ，去户外空气稍好 地方 散步，吹吹风， 受一下春  阳光，如可能适当做一做工间操 每天一定 用冷水清洗鼻孔，坚持冷水洗脸，温水漱口，热,1,-1
79,292,292,334,1436,Yunba云巴官博,2016年06月30日 10:30  来自 微博 weibo.com,云巴 内有多台空气净化器，妈妈再  用担心雾霾天啦 O 链接,1,1
80,298,298,340,1451,怡呼吸好空气,2016年06月28日 15:34  来自 专业版微博,小编现  窗外正下 雨，虽时大时小，开 窗户 能感觉窗外凉凉 空气缓缓 进入 ，呼气 轻 很多， 们那 呢,1,1
81,302,302,344,1459,不辣的脱口秀,2016年06月27日 09:37  来自 Weico.Android,空气之差，养什么植物 无法存活， 觉得  差 多  马上 搬新 没通风一旦装好 直接拉过去  觉得 寿命将近,1,-1
82,310,310,353,1536,一方净土净化器,2016年08月09日 10:01  来自 皮皮时光机企业版,空气污染持续加剧 员工健康安全谁买单 近 来室内空气污染物 来源和种类 益增多，尤其 商务 空间 目前大多数上班族 %以上 时间    内度过，由于 内环境因素较复杂，更容易导致空气污染肆虐 ，细菌病毒滋生，严重威胁 人们 身体健康O 链接,1,-1
83,313,313,356,1556,春湖国际,2016年08月07日 05:39  来自 iPhone 6s,空气净化器  见过 最会装模作样 家电，特别像  假装工作  们  昆明·五华,1,-1
84,324,324,368,1614,娥眉湾湾姐,2016年08月29日 19:18  来自 iPhone 6,鼻子隐藏多少隐患 知道吗⁉️❌雾霾天气空气污浊❌人流集中吸入浑浊空气❌有害杂物释放有毒气体❌干燥粉尘吸入鼻中⚠️⚠️导致👇💥 岁以上儿童鼻结痂💥职业性吸入粉尘💥 鼻干💥居住环境受空气污染💥鼻腔发炎💥过敏性体质针贴心❤️爱鼻贴❤️帮您解决鼻部问题?,1,-1
85,335,335,382,1703,闵行中医医院,2016年08月18日 10:10  来自 专业版微博,春季干燥多风，使得人们易形成上火症状，加之长期处于 ，室内空气干燥 流通，久坐电脑前干燥问题更  请自来 主 表现为口干 唾液减少甚至吃干食必需水送 多发龋齿；眼干 有异物感 泪液减少甚至无泪；反复腮腺肿大；关节疼痛肿胀；多系统损害，包括肺间质病变 萎缩性胃炎 慢性肝炎 血液,1,-1
86,347,347,394,1777,国双Gridsum,2016年10月14日 22:26  来自 微博 weibo.com,北京市发布霾黄色预警，窗外一片灰蒙蒙，但小编  内感觉很清爽，亲测发现 内 空气质量等级达到 优良水平 归功于公司 初花巨资购置   风机及除尘设备， 经过静电除尘和HEPA过滤网两道过滤  谢谢公司从员工健康 想，为大家提供良好 工作环境 PS 桌上  M口罩  公司为每位,1,1
87,355,355,402,1832,太美环宝-室内空气治理,2016年10月31日 15:20  来自 专业版微博,环境真 好吗？很多人 注意到  空气污染严重，待久 以后， 仅头晕和胸闷，而且皮肤  舒服 这种现象 极个别 吗？  吧 很多  待久 人 会有这样 感觉 现今， 家具 款式虽然比以前多 ，工艺 比以前更加完善 ，可为什么 家具 污染比以前更严重 呢？ 认为,1,-1
88,356,356,403,1834,小白喜欢樱桃子,2016年10月31日 14:39  来自 黄致列超话,冷空气南下，此刻坐  ，披 一块绒毯还嫌冷 只有 哥，才能随时当 暖手宝,1,-1
89,358,358,406,1843,唐慧空间设计事务所,2016年10月30日 23:07  来自 iPhone客户端,万达 一早 空气 石家庄·空中花园,1,1
90,362,362,411,1885,SHARONKYO,2016年11月14日 18:53  来自 🦄🦄iPhone,呆 一天，没空气净化器，喉咙口 负众望地开始疼得没法 话 _( з」∠)_,1,-1
91,363,363,412,1897,氧嘻嘻官博,2016年11月14日 15:48  来自 微博 weibo.com,搬 新 很开心？刚装修完  很漂亮？但 ， 有没有想过， 做过空气净化服务吗？老板配备 空气净化器吗？如果老板根本 把员工 健康放 考虑范围内，那  应该反思自己 工作选择,1,1
92,365,365,414,1909,拉带_300PlusClub,2016年11月14日 13:44  来自 华为Ascend手机,给 换个空气净化器滤芯 拆出之前 看 看 觉得还好  以为本来带活性碳   灰色 直到 打开 新 滤芯才知道 它有多脏,1,-1
93,368,368,417,1915,airx空气管家,2016年11月14日 10:55  来自 Android,雾霾来临， 们首先想到  家中 否做好防霾准备，而忽略 每天坐   那 个小时  好奇每天令 头疼  空气质量如何吗？ 想 解所 写字楼 中央空调净化效果如何吗？那 需 一台C 检测仪O 链接 或参与 活动， 台C  领 详情如下↓,1,0
94,370,370,419,1932,海淀文明志愿,2016年11月13日 00:30  来自 iPhone 6,下午，由北京市海淀区精神文明建设委员会 主办，北京市海淀区文明志愿者协会承办 “清洁空气，蓝天行动”一平米小菜园项目培训会议 花园路街道社区服务中心举行 “一户一平米，万户小菜园”  北京·北京邮电大学,1,1
